Quote 1 Item ID,Quote 1 Description,Matched Database Item No.,Matched Database Item Description,Match Confidence Score,,,,Item No.,,,,,
KP82030,MET 8.8 HX HD CAP SCR M16X1.50X30MM ZP,X16X30M,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 30, CL 8.8",0.95,,,,X16X30M,,TRUE,,,
C90634,MET HARDENED FLAT WASHER M18 ZINC PL,XFW18M,FLAT WASHER METRIC ZINC M18,0.9,,,,XFW18M,,TRUE,,,
-11088,"PLUG  HEX HD	 BRASS PIPE	 1/4"" NPT",X3152X4,"BRASS PIPE HEX PLUG 1/4"" MALE",0.9,,,,X3152X4,,TRUE,,AI incorrect part number 11083-5,
11083,"PLUG  HEX HD	 BRASS PIPE	 1/8"" NPT",X3152X2,"BRASS PIPE HEX PLUG 1/8"" MALE",0.9,,,,X3152X2,,TRUE,,,
-11089,"PLUG  HEX HD	 BRASS PIPE	 1/8"" NPT",X3152X6,"BRASS PIPE HEX PLUG 3/8"" MALE",0.9,,,,X3152X6,,TRUE,,AI incorrect part number 11083-6,
11085,"BUSHING  BRASS PIPE	 1/4X1/8",X3220X4X2,"BRASS PIPE BUSHING 1/4"" MALE X 1/8"" FEMALE",0.95,,,,X3220X4X2,,TRUE,,,
-11092,"COUPLING  BRASS PIPE	 3/8""",X3300X6,"BRASS PIPE HEX COUPLING 3/8""""",0.9,,,,X3300X6,,TRUE,,AI incorrect part number 11090-2,
43621,MET PH PN HD MACH SCR M5X0.8X20MM,XM5X20P,METRIC MACH. SCREW PHILLIPS PAN HD M5-0.80 X 20,0.95,,,,XM5X20P,,TRUE,,,
42401,MET CLASS 8 HEX NUT M5X0.8 ZC,XM5X0.8N10,HEX NUT METRIC ZINC M5-0.8 CL 10,0.9,,,,XM5X0.8N10,,TRUE,,,
120242,,,,,,,,TD38,,,,AI missed  from the MSC Quote,
120240,,,,,,,,TD14,,,,AI missed  from the MSC Quote,
MP42810,METRIC ROLL PIN M2.5X20MM,,,0,,,,ADD,XM2.5X20RP,,,,
MP42834,METRIC ROLL PIN M5X20MM,,,0,,,,ADD,XM5X20RP,,,,
MP35035,SELF-LOCKING ROLL PIN 5/32X1,5321RP,"ROLL PIN - PLAIN FINISH 5/32"" X 1""""",0.85,,,,5321RP,,TRUE,,,
MP35055,SELF-LOCKING ROLL PIN 1/4X1,141RP,"ROLL PIN - PLAIN FINISH 1/4"" X 1""""",0.85,,,,141RP,,TRUE,,,
9376,"O-RING.  METRIC	 BUNA-N	 36MMIDX3MMTHK",,,0,,,,ADD,XMOR36X,FALSE,,,
17065,LUG-COPPER -TIN PLATED 2/0 GA.,XML2038,"MAGNUM LUG 2/0 GAUGE 3/8"" STUD",0.85,,,,XML2038,,TRUE,,,
17045,FLAG TERMINAL 2/0 GA.,,,0,,,,,,,,XQC4363208 was not on Ram quote and not in data provided,
C24707,"CABLE TIE BLACK 15"" X 9/32""",2TY15HD,"CABLE TIE 15""  BLACK	 120 LB TS	 HD",0.85,,,,2TY15HD,,TRUE,,,
18578,TERM-BOWMA-CRIMP .250 TAB SZ-16-14 GA,6FRB250,"TERMINAL FEMALE NYLON-INS 16-14 GAUGE, .250"" TAB",0.85,,,,X6PBT250,,FALSE,,,
MP18553,TERM-SCOTCHLOK 801 18-14 GA BLUE,SL14-6,ELECTRICAL CONNECTOR-TAP 18-14 GA  BLUE,0.85,,,,SL14-6,,TRUE,,,
23097,TERM-BOWMA-CRIMP .250 TAB SZ-16-14 GA,6FRB250,"TERMINAL FEMALE NYLON-INS 16-14 GAUGE, .250"" TAB",0.85,,,,6FRB250,,TRUE,,,
MP18551,TERM-18-14 SCOTCH-LOKS RED,SL18,ELECTRICAL CONNECTOR-TAP 22-18 GA  RED,0.85,,,,SL18,,TRUE,,,
7560,AGC 30 GLASS FUSE,AGC30,"FUSE - AGC 1/4"" X 1-1/4"", 30 AMP",0.9,,,,AGC30,,TRUE,,,
#NAME?,ATO FUSE ATO-15 AMP LIGHT BLUE,ATO15QPAK,"FUSE - ATO/ATC 15 AMP, BLUE",0.9,,,,ATO15QPAK,,TRUE,,#NAME?,When converted to excel the format of the item thought it was a formula
#NAME?,ATO FUSE ATO-10 AMP RED,ATO10QPAK,"FUSE - ATO/ATC 10 AMP, RED",0.9,,,,ATO10QPAK,,TRUE,,#NAME?,When converted to excel the format of the item thought it was a formula
#NAME?,ATO FUSE ATO-3 AMP VIOLET,ATO3QPAK,"FUSE - ATO/ATC 3 AMP, VIOLET",0.9,,,,ATO3QPAK,,TRUE,,#NAME?,When converted to excel the format of the item thought it was a formula
17062,LUG-COPPER -TIN PLATED 2 GA.,XML138,"MAGNUM LUG 1-2 GAUGE 3/8"" STUD",0.85,,,,XML138,,TRUE,,,
17001,BATTERY TERMINAL 4 GA.,BTL,"BATTERY TERMINAL - TOP POST LEAD  UNIVERSAL	 6 GA-1 GA",0.8,,,,BTL,,TRUE,,,
23630,"HS TUBING DW W/LIN 1/8""X6"" BLACK",MWHS18-12,"HEAT SHRINK MULTI-WALL 12"" STK 1/8"" ID, BLACK, 3:1 S/R",0.8,,,,MWHS18-12,,TRUE,,,
23631,"HS TUBING DW W/LIN 3/16""X6""BLACK",MWHS36-12,"HEAT SHRINK MULTI-WALL 12"" STK 3/16"" ID, BLACK, 3:1 S/R",0.8,,,,MWHS36-12,,TRUE,,,
23635,"HS TUBING DW W/LIN 3/4""X6"" BLACK",MWHS34-12,"HEAT SHRINK MULTI-WALL 12"" STK 3/4"" ID, BLACK, 3:1 S/R",0.8,,,,MWHS34-12,,TRUE,,,
23634,"HS TUBING DW W/LIN 1/2""X6"" BLACK",MWHS12-12,"HEAT SHRINK MULTI-WALL 12"" STK 1/2"" ID, BLACK, 3:1 S/R",0.8,,,,MWHS12-12,,TRUE,,,
23633,"HS TUBING DW W/LIN 3/8""X6"" BLACK",,,0,,,,,,,,MWHS38-12 was not on Ram quote and not in data provided,
23028,TERM-BOWMA-CRIMP 6-8 STUD-16-14 GA,6SB10,TERMINAL SPADE NYLON-INS 16-14 GAUGE  #10 STUD,0.85,,,,6SB10,,TRUE,,,
23007,TERM-BOWMA-CRIMP 4-6 STUD-22-16 GA,6SA10,TERMINAL SPADE NYLON-INS 22-18 GAUGE  #10 STUD,0.85,,,,6SA10,,TRUE,,,
7377,20 AMP MINI FUSE,MIN20QPAK,FUSE - MINI 20 AMP - YELLOW,0.85,,,,MIN20QPAK,,TRUE,,,
MP7380,20 AMP FUSE MAXI,MAX20,"FUSE - MAXI 20 AMP, YELLOW",0.85,,,,MAX20,,TRUE,,,
MP40929,COTTER PIN   EXT PRNG 5/32 X 1,532X1CP,"COTTER PIN - ZINC 5/32"" X 1""""",0.9,,,,532X1CP,,TRUE,,,
39354,GR. 8 HX HD CAP SCR 3/8-24×1,38X1F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1"", GR 8",0.95,,,,38X1F8,,TRUE,,,
39355,GR. 8 HX HD CAP SCR 3/8-24×1-1/4,38X114F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-1/4"", GR 8",0.95,,,,38X114F8,,TRUE,,,
39358,GR. 8 HX HD CAP SCR 3/8-24×2,38X2F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 2"", GR 8",0.95,,,,38X2F8,,TRUE,,,
39357,GR. 8 HX HD CAP SCR 3/8-24×1-3/4,38X134F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-3/4"", GR 8",0.95,,,,38X134F8,,TRUE,,,
39302,GR. 8 HX HD CAP SCR 1/4-28X3/4,14X34F8,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 3/4"", GR 8",0.95,,,,14X34F8,,TRUE,,,
39573,GR. 8 HEX NUT 3/8-24,8N3824,"HEX NUT UNF ZINC 3/8""-24 GR 8",0.9,,,,8N3824,,TRUE,,,
36702,HARDENED FLAT WASHER- 5/16 SAE  ZY,8SFW56,"FLAT WASHER SAE ZINC 5/16"" THRU HARDENED",0.9,,,,8SFW56,,TRUE,,,
39729,LOCK WASHER 1/2-ZY,8LW50,"LOCK WASHER SPLIT USS ZINC 1/2"" HIGH ALLOY",0.85,,,,8LW50,,TRUE,,,
39725,LOCK WASHER 1/4-ZY,8LW14,"LOCK WASHER SPLIT USS ZINC 1/4"" HIGH ALLOY",0.85,,,,8LW14,,TRUE,,,
39726,LOCK WASHER 5/16-ZY,8LW56,"LOCK WASHER SPLIT USS ZINC 5/16"" HIGH ALLOY",0.85,,,,8LW56,,TRUE,,,
39563,GR. 8 HEX NUT 3/8-16,8N3816,"HEX NUT UNC ZINC 3/8""-16 GR 8",0.9,,,,8N3816,,TRUE,,,
39565,GR. 8 HEX NUT 1/2-13,8N1213,"HEX NUT UNC ZINC 1/2""-13 GR 8",0.9,,,,8N1213,,TRUE,,,
39079,GR. 8 HX HD CAP SCR 7/16-14X1,76X1C8,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 1"", GR 8",0.95,,,,76X1C8,,TRUE,,,
39027,GR. 8 HX HD CAP SCR 5/16-18X3/4,56X34C8,"HEX CAP SCREW BOLT UNC ZY 5/16""-18 X 3/4"", GR 8",0.95,,,,56X34C8,,TRUE,,,
39055,GR. 8 HX HD CAP SCR 3/8-16×1-1/4,38X114C8,"HEX CAP SCREW BOLT UNC ZY 3/8""-16 X 1-1/4"", GR 8",0.95,,,,38X114C8,,TRUE,,,
39305,GR. 8 HX HD CAP SCR 1/4-28X1-1/4,14X114F8,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 1-1/4"", GR 8",0.95,,,,14X114F8,,TRUE,,,
39004,GR. 8 HX HD CAP SCR 1/4-20X1,14X1C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1"", GR 8",0.95,,,,14X1C8,,TRUE,,,
39005,GR. 8 HX HD CAP SCR 1/4-20X1-1/4,14X114C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-1/4"", GR 8",0.95,,,,14X114C8,,TRUE,,,
39307,GR. 8 HX HD CAP SCR 1/4-28×1-3/4,14X134C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-3/4"", GR 8",0.95,,,,14X134C8,,TRUE,,,
39083,GR. 8 HX HD CAP SCR 7/16-14X2,76X2C8,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 2"", GR 8",0.95,,,,76X2C8,,TRUE,,,
39111,GR. 8 HX HD CAP SCR 1/2-13X2-3/4,12X234C8,"HEX CAP SCREW BOLT UNC ZINC 1/2""-13 X 2-3/4"", GR 8",0.95,,,,12X234C8,,TRUE,,,
39010,GR. 8 HX HD CAP SCR 1/4-20X2-1/2,14X212C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 2-1/2"", GR 8",0.95,,,,14X212C8,,TRUE,,,
39009,GR. 8 HX HD CAP SCR 1/4-20X2-1/4,14X214C8,"HEX CAP SCREW BOLT UNC ZY 1/4""-20 X 2-1/4"", GR 8",0.95,,,,14X214C8,,TRUE,,,
39035,GR. 8 HX HD CAP SCR 5/16-18X2-1/2,56X212C8,"HEX CAP SCREW BOLT UNC ZINC 5/16""-18 X 2-1/2"", GR 8",0.95,,,,56X212C8,,TRUE,,,
39380,GR. 8 HX HD CAP SCR 7/16-20X1-1/4,76X114F8,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 1-1/4"", GR 8",0.95,,,,76X114F8,,TRUE,,,
39574,GR. 8 HEX NUT 7/16-20,8N7620,"HEX NUT UNF ZINC 7/16""-20 GR 8",0.9,,,,8N7620,,TRUE,,,
39575,GR. 8 HEX NUT 1/2-20,8N1220,"HEX NUT UNF ZINC 1/2""-20 GR 8",0.9,,,,8N1220,,TRUE,,,
39730,LOCK WASHER 9/16-ZY,8LW96,"LOCK WASHER SPLIT USS ZINC 9/16"" HIGH ALLOY",0.85,,,,8LW96,,TRUE,,,
39386,GR. 8 HX HD CAP SCR 7/16-20X2-3/4,76X234F8,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 2-3/4"", GR 8",0.95,,,,76X234F8,,TRUE,,,
BD1511,"THREADLOCKER  MED STRENGTH BLUE	 35 ML",TL242-2,THREADLOCKER-MEDIUM STRENGTH 50 ML BOTTLE  BLUE,0.9,,,,TL242-2,,TRUE,,,
BD1517,"THREADLOCKER  HIGH STRENGTH RED	 50 ML",TL271-2,THREADLOCKER-HIGH STRENGTH 50 ML BOTTLE  RED,0.9,,,,TL271-2,,TRUE,,,
MSC88435581,+LOCTITE DIELECTRIC GREASE .33OZ TUBE,XDY49634,DIELECTRIC GREASE 1 OUNCE,0.8,,,,XDY49634,,TRUE,,,
KP71274,"3M ROLOC SURFACE COND DISC  2"" FINE",XRSCD2VFN,3M ROLOC SURF COND DISC 2 VERY FINE TEAL,0.9,,,,XRSCD2VFN,,TRUE,,,
22163,"MTD PNT GRIND WHL  A/O	 VITRIFIED	 W236",XUA27349,W236 1-1/2 X 1/2 X 1/4 A60R,0.8,,,,XUA27349,,TRUE,,,
22152,"MTD PNT GRIND WHL  A/O	 VITRIFIED	 A4",XUA27040,MOUNTED POINT A11 60 GRIT,0.8,,,,XUA27040,,TRUE,,,
BD3256,FLAP WHEEL AO 1X1X1/4 SHANK 120 GRIT,FW1X1X120,"FLAP WHEEL W/1/4""MANDREL 1"" DIAM  1"" W	 120 GRIT",0.9,,,,FW1X1X120,,TRUE,,,
-21465,"TAPE  TEFLON THREAD	 3/4"" X 520""",T5520,"TAPE PTFE THREAD SEAL 1/2"" X 520""",0.85,,,,T5520,,TRUE,,,
22812,PIPE SEALANT W/PTFE  50 ML,PSWT,PIPE SEALANT  W/PTFE NET WT 50 ML TUBE,0.95,,,,PSWT,,TRUE,,,
