Item No.,Item Description
SGSH5X2.0D,SAFETY GLASSES-SHADE 5 GREEN NEMESIS W/ 2.0 DIOPTER
SM8P7.10,BOLLHOFF PLUS NUT STEEL M8-1.25 GRIP RANGE .5-7.1MM
SM6P7.10,BOLLHOFF PLUS NUT STEEL M6-1.0 GRIP RANGE ..50-7.1MM
XKN8X1.25,KEP NUT METRIC ZINC M8-1.25
XCG.25,"GROMMETS CATAPILLAR 1/4"" PANNEL THICKNESS"
XMBT308M8-1.25,"METRIC BOTTOMING TAP M8-1.25, 3/PACK"
XMLN10X1.25,LOCK NUT ZINC M10-1.25 CL 8
XMLN12X1.25,LOCK NUT ZINC M12-1.25 CL 8
XMKN8X1.25,KEP NUT METRIC ZINC M8-1.25
HCIM10X1.25,HELICALLY COILED INSERT M10 X 1.25
HCIM8X1.25,HELICALLY COILED INSERT M8 X 1.25
XGDB6.3A,"FUSE - GDB 5MM X 20MM, 6.3 AMP"
SM5P4.45,BOLLHOFF PLUS NUT STEEL M5-0.80 GRIP RANGE ..50-4.45MM
M2.5X0.45,HEX NUT METRIC ZINC M2.5-0.45 CL 8
M2X0.4N,HEX NUT METRIC ZINC M2-0.40 CL 8
XGMA1.5A,"FUSE - GMA 5MMX20MM, 1.5 AMP"
XTYMB2.5A,"CABLE TIE MOUNT  WHITE, .625"" X .625"" RUBBER-BASED ADHESIVE"
SGSH5X1.5D,SAFETY GLASSES-SHADE 5 GREEN NEMESIS W/ 1.5 DIOPTER
HCIM10X1.5K,HELICALLY COILED INSERT KIT M10 X 1.50
XFN10X1.5M,HEX FLANGE NUT METRIC ZINC M10-1.50
X8SLN12X1.5M,LOCK NUT STOVER ZINC M12-1.50
X8SLN14X1.5M,LOCK NUT STOVER ZINC M14-1.50
FW2.5M,FLAT WASHER METRIC ZINC M2.5
FW3.5M,FLAT WASHER METRIC ZINC M3.5
XM20X1.5N,HEX NUT METRIC ZINC M20-1.50 CL 8
XM18X2.5N,HEX NUT METRIC ZINC M18-2.50 CL 8
XM18X1.5N,HEX NUT METRIC ZINC M18-1.50 CL 8
XM12X1.5N,HEX NUT METRIC ZINC M12-1.50 CL 8
M3X0.5N,HEX NUT METRIC ZINC M3-0.50 CL 8
M10X1.5N,HEX NUT METRIC ZINC M10-1.50 CL 8
XM20X2.5N,HEX NUT METRIC ZINC M20-2.50 CL 8
XM16X1.5N,HEX NUT METRIC ZINC M16-1.50 CL 8
X1169X2.5S,"PUSH TO CONNECT, NON-DOT, NICKLE PLATED BRASS, SWIVEL, MALE 90 DEGREE ELBOW, 5/32"" TUBE X 1/8"" PIPE"
XHCIM12X1.75,H.COIL INSERT M12-1.75
XBW102TCMM-.75,BRAKE WIRE 10 GA 2 COND TC BLACK SLEEVE RED AND BLACK INNERS 8.5 INCHES
M4X0.7N,HEX NUT METRIC ZINC M4-0.70 CL 8
HCIM5X.8K,HELICALLY COILED INSERT KIT M5 X 0.80
M5X0.8N,HEX NUT METRIC ZINC M5-0.80 CL 8
