pdf_description,catalog_description,match_quality,confidence
MET 8.8 HX HD CAP SCR M16X1.50X30MM ZP,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 30, CL 8.8",good,0.8
MET HARDENED FLAT WASHER M18 ZINC PL,FLAT WASHER METRIC ZINC M18,excellent,0.95
"PLUG  HEX HD	 BRASS PIPE	 1/4"" NPT","BRASS PIPE HEX PLUG 1/4"" MALE",excellent,0.95
"PLUG  HEX HD	 BRASS PIPE	 1/8"" NPT","BRASS PIPE HEX PLUG 1/8"" MALE",excellent,0.95
"PLUG  HEX HD	 BRASS PIPE	 1/8"" NPT","BRASS PIPE HEX PLUG 3/8"" MALE",excellent,0.95
"BUSHING  BRASS PIPE	 1/4X1/8","BRASS PIPE BUSHING 1/4"" MALE X 1/8"" FEMALE",excellent,0.95
"COUPLING  BRASS PIPE	 3/8""","BRASS PIPE HEX COUPLING 3/8""""",excellent,0.95
MET PH PN HD MACH SCR M5X0.8X20MM,METRIC MACH. SCREW PHILLIPS PAN HD M5-0.80 X 20,excellent,0.95
SELF-LOCKING ROLL PIN 5/32X1,"ROLL PIN - PLAIN FINISH 5/32"" X 1""""",excellent,0.95
SELF-LOCKING ROLL PIN 1/4X1,"ROLL PIN - PLAIN FINISH 1/4"" X 1""""",excellent,0.95
LUG-COPPER -TIN PLATED 2/0 GA.,"MAGNUM LUG 2/0 GAUGE 3/8"" STUD",good,0.8
"CABLE TIE BLACK 15"" X 9/32""","CABLE TIE 15""  BLACK	 120 LB TS	 HD",good,0.8
TERM-BOWMA-CRIMP .250 TAB SZ-16-14 GA,"TERMINAL FEMALE NYLON-INS 16-14 GAUGE, .250"" TAB",good,0.85
TERM-SCOTCHLOK 801 18-14 GA BLUE,ELECTRICAL CONNECTOR-TAP 18-14 GA  BLUE,good,0.85
TERM-BOWMA-CRIMP .250 TAB SZ-16-14 GA,"TERMINAL FEMALE NYLON-INS 16-14 GAUGE, .250"" TAB",good,0.85
TERM-18-14 SCOTCH-LOKS RED,ELECTRICAL CONNECTOR-TAP 22-18 GA  RED,good,0.85
AGC 30 GLASS FUSE,"FUSE - AGC 1/4"" X 1-1/4"", 30 AMP",excellent,0.9
ATO FUSE ATO-15 AMP LIGHT BLUE,"FUSE - ATO/ATC 15 AMP, BLUE",excellent,0.9
ATO FUSE ATO-10 AMP RED,"FUSE - ATO/ATC 10 AMP, RED",excellent,0.9
ATO FUSE ATO-3 AMP VIOLET,"FUSE - ATO/ATC 3 AMP, VIOLET",excellent,0.9
LUG-COPPER -TIN PLATED 2 GA.,"MAGNUM LUG 1-2 GAUGE 3/8"" STUD",good,0.85
BATTERY TERMINAL 4 GA.,"BATTERY TERMINAL - TOP POST LEAD  UNIVERSAL	 6 GA-1 GA",good,0.8
"HS TUBING DW W/LIN 1/8""X6"" BLACK","HEAT SHRINK MULTI-WALL 12"" STK 1/8"" ID, BLACK, 3:1 S/R",good,0.8
"HS TUBING DW W/LIN 3/16""X6""BLACK","HEAT SHRINK MULTI-WALL 12"" STK 3/16"" ID, BLACK, 3:1 S/R",good,0.8
"HS TUBING DW W/LIN 3/4""X6"" BLACK","HEAT SHRINK MULTI-WALL 12"" STK 3/4"" ID, BLACK, 3:1 S/R",good,0.8
