item_description,catalog_product_sku,catalog_product_description
MET 8.8 HX HD CAP SCR M16X1.50X30MM ZP,X16X30M,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 30, CL 8.8"
MET HARDENED FLAT WASHER M18 ZINC PL,XFW18M,FLAT WASHER METRIC ZINC M18
"PLUG  HEX HD	 BRASS PIPE	 1/4"" NPT",X3152X4,"BRASS PIPE HEX PLUG 1/4"" MALE"
"PLUG  HEX HD	 BRASS PIPE	 1/8"" NPT",X3152X2,"BRASS PIPE HEX PLUG 1/8"" MALE"
"PLUG  HEX HD	 BRASS PIPE	 1/8"" NPT",X3152X6,"BRASS PIPE HEX PLUG 3/8"" MALE"
"BUSHING  BRASS PIPE	 1/4X1/8",X3220X4X2,"BRASS PIPE BUSHING 1/4"" MALE X 1/8"" FEMALE"
"COUPLING  BRASS PIPE	 3/8""",X3300X6,"BRASS PIPE HEX COUPLING 3/8"""""
MET PH PN HD MACH SCR M5X0.8X20MM,XM5X20P,METRIC MACH. SCREW PHILLIPS PAN HD M5-0.80 X 20
MET CLASS 8 HEX NUT M5X0.8 ZC,XM5X0.8N10,HEX NUT METRIC ZINC M5-0.8 CL 10
SELF-LOCKING ROLL PIN 5/32X1,5321RP,"ROLL PIN - PLAIN FINISH 5/32"" X 1"""""
SELF-LOCKING ROLL PIN 1/4X1,141RP,"ROLL PIN - PLAIN FINISH 1/4"" X 1"""""
LUG-COPPER -TIN PLATED 2/0 GA.,XML2038,"MAGNUM LUG 2/0 GAUGE 3/8"" STUD"
"CABLE TIE BLACK 15"" X 9/32""",2TY15HD,"CABLE TIE 15""  BLACK	 120 LB TS	 HD"
TERM-BOWMA-CRIMP .250 TAB SZ-16-14 GA,6FRB250,"TERMINAL FEMALE NYLON-INS 16-14 GAUGE, .250"" TAB"
TERM-SCOTCHLOK 801 18-14 GA BLUE,SL14-6,ELECTRICAL CONNECTOR-TAP 18-14 GA  BLUE
TERM-BOWMA-CRIMP .250 TAB SZ-16-14 GA,6FRB250,"TERMINAL FEMALE NYLON-INS 16-14 GAUGE, .250"" TAB"
TERM-18-14 SCOTCH-LOKS RED,SL18,ELECTRICAL CONNECTOR-TAP 22-18 GA  RED
AGC 30 GLASS FUSE,AGC30,"FUSE - AGC 1/4"" X 1-1/4"", 30 AMP"
ATO FUSE ATO-15 AMP LIGHT BLUE,ATO15QPAK,"FUSE - ATO/ATC 15 AMP, BLUE"
ATO FUSE ATO-10 AMP RED,ATO10QPAK,"FUSE - ATO/ATC 10 AMP, RED"
ATO FUSE ATO-3 AMP VIOLET,ATO3QPAK,"FUSE - ATO/ATC 3 AMP, VIOLET"
LUG-COPPER -TIN PLATED 2 GA.,XML138,"MAGNUM LUG 1-2 GAUGE 3/8"" STUD"
BATTERY TERMINAL 4 GA.,BTL,"BATTERY TERMINAL - TOP POST LEAD  UNIVERSAL	 6 GA-1 GA"
"HS TUBING DW W/LIN 1/8""X6"" BLACK",MWHS18-12,"HEAT SHRINK MULTI-WALL 12"" STK 1/8"" ID, BLACK, 3:1 S/R"
"HS TUBING DW W/LIN 3/16""X6""BLACK",MWHS36-12,"HEAT SHRINK MULTI-WALL 12"" STK 3/16"" ID, BLACK, 3:1 S/R"
"HS TUBING DW W/LIN 3/4""X6"" BLACK",MWHS34-12,"HEAT SHRINK MULTI-WALL 12"" STK 3/4"" ID, BLACK, 3:1 S/R"
"HS TUBING DW W/LIN 1/2""X6"" BLACK",MWHS12-12,"HEAT SHRINK MULTI-WALL 12"" STK 1/2"" ID, BLACK, 3:1 S/R"
TERM-BOWMA-CRIMP 6-8 STUD-16-14 GA,6SB10,TERMINAL SPADE NYLON-INS 16-14 GAUGE  #10 STUD
TERM-BOWMA-CRIMP 4-6 STUD-22-16 GA,6SA10,TERMINAL SPADE NYLON-INS 22-18 GAUGE  #10 STUD
20 AMP MINI FUSE,MIN20QPAK,FUSE - MINI 20 AMP - YELLOW
20 AMP FUSE MAXI,MAX20,"FUSE - MAXI 20 AMP, YELLOW"
COTTER PIN   EXT PRNG 5/32 X 1,532X1CP,"COTTER PIN - ZINC 5/32"" X 1"""""
GR. 8 HX HD CAP SCR 3/8-24×1,38X1F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1"", GR 8"
GR. 8 HX HD CAP SCR 3/8-24×1-1/4,38X114F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-1/4"", GR 8"
GR. 8 HX HD CAP SCR 3/8-24×2,38X2F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 2"", GR 8"
GR. 8 HX HD CAP SCR 3/8-24×1-3/4,38X134F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-3/4"", GR 8"
GR. 8 HX HD CAP SCR 1/4-28X3/4,14X34F8,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 3/4"", GR 8"
GR. 8 HEX NUT 3/8-24,8N3824,"HEX NUT UNF ZINC 3/8""-24 GR 8"
HARDENED FLAT WASHER- 5/16 SAE  ZY,8SFW56,"FLAT WASHER SAE ZINC 5/16"" THRU HARDENED"
LOCK WASHER 1/2-ZY,8LW50,"LOCK WASHER SPLIT USS ZINC 1/2"" HIGH ALLOY"
LOCK WASHER 1/4-ZY,8LW14,"LOCK WASHER SPLIT USS ZINC 1/4"" HIGH ALLOY"
LOCK WASHER 5/16-ZY,8LW56,"LOCK WASHER SPLIT USS ZINC 5/16"" HIGH ALLOY"
GR. 8 HEX NUT 3/8-16,8N3816,"HEX NUT UNC ZINC 3/8""-16 GR 8"
GR. 8 HEX NUT 1/2-13,8N1213,"HEX NUT UNC ZINC 1/2""-13 GR 8"
GR. 8 HX HD CAP SCR 7/16-14X1,76X1C8,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 1"", GR 8"
GR. 8 HX HD CAP SCR 5/16-18X3/4,56X34C8,"HEX CAP SCREW BOLT UNC ZY 5/16""-18 X 3/4"", GR 8"
GR. 8 HX HD CAP SCR 3/8-16×1-1/4,38X114C8,"HEX CAP SCREW BOLT UNC ZY 3/8""-16 X 1-1/4"", GR 8"
GR. 8 HX HD CAP SCR 1/4-28X1-1/4,14X114F8,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 1-1/4"", GR 8"
GR. 8 HX HD CAP SCR 1/4-20X1,14X1C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1"", GR 8"
GR. 8 HX HD CAP SCR 1/4-20X1-1/4,14X114C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-1/4"", GR 8"
GR. 8 HX HD CAP SCR 1/4-28×1-3/4,14X134C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-3/4"", GR 8"
GR. 8 HX HD CAP SCR 7/16-14X2,76X2C8,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 2"", GR 8"
